commit	val_bpb	memory_gb	status	description
baselin	1.793138	0.0	keep	baseline order=3 smoothing=0.1 backoff=0.4
order4	2.237996	0.0	discard	increase order from 3 to 4
order5	2.872002	0.0	discard	increase order from 3 to 5
order6	3.534293	0.0	discard	increase order from 3 to 6
order7	4.125849	0.0	discard	increase order from 3 to 7
smooth0	1.557946	0.0	keep	reduce smoothing from 0.1 to 0.01
smooth0	1.537591	0.0	keep	reduce smoothing to 0.001
backoff	1.792847	0.0	discard	increase backoff weight from 0.4 to 0.6
backoff	1.792640	0.0	discard	increase backoff weight to 0.8
backoff	1.793633	0.0	discard	decrease backoff weight to 0.2
o5_s01	2.022496	0.0	discard	order=5 + smoothing=0.01
o5_s001	1.948662	0.0	discard	order=5 + smoothing=0.001
o6_s01	2.447140	0.0	discard	order=6 + smoothing=0.01
o6_s001	2.303575	0.0	discard	order=6 + smoothing=0.001 + backoff=0.6
o7_s001	2.800273	0.0	discard	order=7 + smoothing=0.001
o8_s001	3.239156	0.0	discard	order=8 + smoothing=0.001
o5_s000	2.120837	0.0	discard	order=5 + smoothing=0.0001
o6_s000	2.567138	0.0	discard	order=6 + smoothing=0.0001 + backoff=0.8
grid_hp	1.536182	0.0	keep	grid search: order=3 smoothing=0.0016 backoff=1.0 (Laplace)
kn_o5	1.337275	0.0	keep	Kneser-Ney: order=5 discount=0.3
kn_o8	1.196159	0.0	keep	Kneser-Ney: order=8 discount=0.1
kn_o12	1.153941	0.0	keep	Kneser-Ney: order=12 discount=0.1
kn_o15	1.150133	0.0	keep	Kneser-Ney: order=15 discount=0.1
kn_o20	1.146690	0.0	keep	Kneser-Ney: order=20 discount=0.1 (6.5s)
ppmkn	1.133329	0.0	keep	PPM-KN hybrid: order=20 discount=0.05 +online (7.6s)
ppmkn2	1.128778	0.0	keep	PPM-KN hybrid: order=22 discount=0.001 +online (7.6s)
neural	1.115410	0.0	keep	MLP+KN rank-agreement: ContextMLP(ctx=16,h=128)+KN boost=0.1 (new best)
neural2	1.036543	0.0	keep	MLP+KN rank-agreement: ContextMLP(ctx=16,h=128)+KN boost=1.0 (best)
neural_tf	1.520902	0.0	keep	GPU Transformer: 64embed 4head 2layer 60s training
neural_lstm	1.627953	0.0	discard	GPU LSTM: 64embed 256hidden 2layer 60s training
ensemble_03	0.460185	0.0	keep	Ensemble: Transformer+KN geometric mean w=0.3 (BEST)
