
Altitude profile  (12:45Z -> 14:05Z)

  ground -> FL390  width = 70 cols, each col = 558 ft

  time   alt(ft)   vs(fpm)  gs(kt)  |altitude bar                                                          |
  -----  --------  -------  ------  +----------------------------------------------------------------------+
  12:45     39000     +128     440  |======================================================================|
  12:45     39050      +64     439  |======================================================================|
  12:46     39025       +0     440  |======================================================================|
  12:46     39000      -64     441  |======================================================================|
  12:47     39000       +0     441  |======================================================================|
  12:47     39025       +0     440  |======================================================================|
  12:48     39025      -64     440  |======================================================================|
  12:48     38950     -640     440  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\|
  12:49     38450     -896     427  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\ |
  12:49     38000     -896     414  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\  |
  12:50     37525     -896     421  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\   |
  12:51     37025     -384     428  |==================================================================    |
  12:51     37000       +0     431  |==================================================================    |
  12:52     37000       +0     430  |==================================================================    |
  12:52     37000       +0     428  |==================================================================    |
  12:53     37000       +0     430  |==================================================================    |
  12:53     37000      -64     430  |==================================================================    |
  12:54     37000       +0     432  |==================================================================    |
  12:54     37025      +64     432  |==================================================================    |
  12:55     37025       +0     432  |==================================================================    |
  12:55     37050       +0     431  |==================================================================    |
  12:56     37000       +0     431  |==================================================================    |
  12:56     37025       +0     430  |==================================================================    |
  12:57     37025       +0     428  |==================================================================    |
  12:57     36525    -1984     423  |vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv     |
  12:58     35525    -2048     415  |vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv      |
  12:58     34550    -1920     406  |vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv        |
  12:59     33550    -1984     395  |vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv          |
  12:59     32550    -2048     386  |vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv            |
  13:00     31525    -1408     378  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\             |
  13:00     30950     -960     361  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\               |
  13:01     30500     -960     354  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\               |
  13:01     29975    -1024     355  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\                |
  13:02     29450    -1024     356  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\                 |
  13:02     29041     -309     344  |====================================================                  |
  13:03     29012      -64     344  |====================================================                  |
  13:03     29000      +64     344  |====================================================                  |
  13:04     29000      -64     344  |====================================================                  |
  13:04     29000       +0     344  |====================================================                  |
  13:05     29000       +0     344  |====================================================                  |
  13:05     29000      -64     344  |====================================================                  |
  13:06     29000     +128     341  |====================================================                  |
  13:06     29000       +0     341  |====================================================                  |
  13:07     28975      -64     341  |====================================================                  |
  13:07     28950       +0     343  |====================================================                  |
  13:08     28975     -512     344  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\                  |
  13:08     28425    -1024     338  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\                   |
  13:09     27900    -1024     337  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\                    |
  13:09     27400     -960     339  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\                     |
  13:10     26850    -1024     336  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\                      |
  13:11     26350     -896     334  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\                       |
  13:11     25850    -1152     332  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\                        |
  13:12     25275     -896     326  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\                         |
  13:12     24775    -1024     326  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\                          |
  13:13     24250    -1088     327  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\                           |
  13:13     23675     -960     319  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\                            |
  13:14     23200    -1024     318  |\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\                            |
